,Model_Year,Make,Model,Trim,Body_Style,Color_Interior,Color_Exterior,Engine,Displacement,Transmission,Transmission_Detail,VIN,Condition,Mileage,Days_on_Site,Private_or_Dealer,Price,Title_Clean_Filter,PriceHistory
0_682854947,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3KGN00612,USED,"30,943",542,Private Seller Exchange,77995.0,False,
0_707264347,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3KGN01579,USED,"52,000",330,Private Seller Exchange,70000.0,True,
0_718224794,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Gray,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW8LGN03815,USED,"15,957",177,Private Seller Exchange,101500.0,True,"[{'dateUpdated': 'Price Today', 'price': '$101,500'}]"
0_718772275,2015,Aston Martin,V8 Vantage,GT,Coupe,Gray,Black,8-Cylinder,4.7,Manual,6-Speed Manual,SCFEBBAL7FGC19529,USED,"12,450",202,Private Seller Exchange,83000.0,True,
0_719633011,2014,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBAK1EGC18513,USED,"26,045",192,Private Seller Exchange,54250.0,True,
0_724305348,2021,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Blue,8-Cylinder Turbo,4,Manual,7-Speed Manual,SCFSSGAW0MGN06117,USED,"2,475",142,Private Seller Exchange,139500.0,True,
0_726030649,2011,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Titanium Silver,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEFBAK6BGC14604,USED,"47,063",78,,42589.0,True,
0_726608242,2016,Aston Martin,V8 Vantage,S,Coupe,Red,Black,8-Cylinder,4.7,Manual,6-Speed Manual,SCFEBBDL0GGC20082,USED,"25,000",117,Private Seller Exchange,69419.0,True,
0_726931410,2011,Aston Martin,V8 Vantage,Coupe,Coupe,Tan,Blue,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEFBAKXBGC14833,USED,"27,450",114,Private Seller Exchange,56000.0,True,"[{'dateUpdated': '11.23.2024', 'price': '$53,995'}, {'dateUpdated': '12.04.2024', 'price': '$47,995'}, {'dateUpdated': 'Price Today', 'price': '$56,000'}]"
0_727467670,2021,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW4MGN05496,USED,"39,463",108,,94879.0,True,"[{'dateUpdated': '11.23.2024', 'price': '$94,882'}, {'dateUpdated': '11.28.2024', 'price': '$94,881'}, {'dateUpdated': '12.13.2024', 'price': '$94,880'}, {'dateUpdated': 'Price Today', 'price': '$94,879'}]"
